,id,Geographic area name,Estimated Percent,Worked full time,Worked full time disability,With a hearing difficulty Worked full time,With a vision difficulty Worked full time,With a cognitive difficulty Worked full time,With an ambulatory difficulty Worked full time,With a self care difficulty Worked full time,With an independent living difficulty Worked full time,No disability Worked full time ,Worked less than full time,Worked less than full time disability,With a hearing difficulty Worked less than full time,With a vision difficulty Worked less than full time,With a cognitive difficulty Worked less than full time,With an ambulatory difficulty Worked less than full time,With a self care difficulty Worked less than full time,With an independent living difficulty Worked less than full time,No disability Worked less than full time,Did not work,Did not work disability,With a hearing difficulty Did not work,With a vision difficulty Did not work,With a cognitive difficulty Did not work,With an ambulatory difficulty Did not work,With a self care difficulty Did not work,With an independent living difficulty Did not work,No disability Did not work,With a hearing difficulty,With a vision difficulty,With a cognitive difficulty,With an ambulatory difficulty,With a self care difficulty,With an independent living difficulty
21,0400000US24,Maryland,11.2,59.25598284,2.440356507,0.704961673,0.500767191,0.648876835,0.821752979,0.158521905,0.348035916,56.81562633,23.1814702,1.849277231,0.233772914,0.293609428,0.950805197,0.587980065,0.162300767,0.485977975,21.33219297,17.56254696,4.520633674,0.513218405,0.614268983,2.368422197,2.485349433,1.02733395,2.217430831,13.04191329,2.6,1.9,4.7,6.1,2.3,5.1
22,0400000US25,Massachusetts,11.5,56.32700393,1.947009993,0.549041916,0.37259464,0.603505508,0.515639425,0.111695347,0.285535937,54.37999394,27.80974236,2.240365988,0.371118287,0.278661667,1.304934757,0.578246028,0.191579896,0.65005677,25.56937637,15.86325371,4.446706648,0.411764136,0.532271466,2.454690951,2.412384204,1.172362853,2.268762719,11.41654706,3.1,1.6,5,5.8,2.4,5.3
23,0400000US26,Michigan,14.3,52.48728816,2.655423378,0.82572686,0.586772032,0.839220271,0.789239745,0.170456219,0.387665192,49.83186478,27.14425022,2.725336216,0.483816143,0.443984792,1.410835092,0.833979303,0.285458013,0.831749813,24.418914,20.36846162,6.911438136,0.876722302,0.922077466,3.520432535,3.97639668,1.737838169,3.495508824,13.45702349,3.9,2.3,6.1,7.5,2.9,6.7
24,0400000US27,Minnesota,10.8,59.35454725,2.336239284,0.81421508,0.390715829,0.752012153,0.533652728,0.193749727,0.37168315,57.01830796,28.26562421,2.546897113,0.440348336,0.304758937,1.530640549,0.623622713,0.272034531,0.964735543,25.71872709,12.37982855,3.737074007,0.463748204,0.480243193,2.16881072,1.978572449,1.036203993,2.034903279,8.642754539,3.3,1.5,4.7,4.9,2.1,4.9
25,0400000US28,Mississippi,16.8,50.89876874,2.912451196,0.728689339,0.899229973,0.6931168,1.046881955,0.244280143,0.445146799,47.98631754,21.3758674,2.425159298,0.440765092,0.642727174,0.956826353,0.944546044,0.142751389,0.514158678,18.95070811,27.72536385,9.473076719,1.317452337,1.894915145,4.435959052,5.737614184,2.129451756,4.735241144,18.25228714,4.2,3.8,6.6,10.1,3.6,8.2
26,0400000US29,Missouri,14.7,56.80511638,3.071402859,0.986215621,0.64593708,0.9148549,0.941460248,0.193398293,0.430918499,53.73371352,23.50048157,2.468596188,0.472120983,0.451464657,1.195560598,0.87387275,0.253549514,0.741121429,21.03188538,19.69440205,7.119932556,1.020091995,1.211039071,3.653195162,4.320311861,1.821034144,3.740337315,12.5744695,4.3,2.6,6.1,8.2,3,6.9
27,0400000US30,Montana,13.5,52.5965339,2.79208206,1.152966027,0.663775584,0.783792866,1.028948169,0.276999888,0.550479269,49.80445184,30.49575139,2.869533213,0.5868045,0.36437247,1.545662575,0.823158535,0.267878575,0.858523627,27.62621818,16.90771471,4.780368373,1.005104735,0.67145669,2.484837817,2.769038742,1.043990335,2.555888048,12.12734634,5.2,2.3,5.3,6.8,2.4,5.5
28,0400000US31,Nebraska,12,62.60746064,3.167172407,1.144889128,0.519494549,0.91467167,0.871107443,0.151235161,0.349576356,59.44028823,24.72234446,2.741712836,0.583247076,0.401109648,1.384492375,0.869602175,0.204716447,0.685870935,21.98063163,12.6701949,4.041910203,0.688173109,0.582007443,2.207342697,2.487676725,0.979398194,1.956936939,8.628284694,4,2,4.7,6,2.1,4.8
29,0400000US32,Nevada,12.3,55.83360484,2.507819968,0.842965147,0.635812605,0.632102891,0.878234305,0.179894214,0.35736905,53.32578487,23.29517167,1.88743762,0.440326842,0.369949817,0.771082731,0.60113485,0.153388581,0.488230531,21.40773405,20.87122348,5.158705837,0.747426588,0.718178993,2.440184905,3.032448701,1.170172615,2.402227548,15.71251765,3.6,2.3,4.5,6.9,2.5,5.3
30,0400000US33,New Hampshire,13.1,58.66583401,2.762623786,0.958471005,0.570357328,0.848412462,0.630076257,0.089400306,0.318540531,55.90321022,26.30755367,2.739234862,0.511825654,0.343710338,1.504845782,0.697868521,0.11991276,0.866221288,23.56831881,15.02661232,5.004280054,0.558009876,0.734198526,2.867220956,2.517218166,1.060100038,2.549155327,10.02233227,3.7,1.9,5.5,6.2,2,5.3
